experiment,example_id,prompt_variant,layer,valid_pair,think_answer_lid,no_think_answer_lid,answer_lid_diff,think_correct,no_think_correct,think_answer_tokens,no_think_answer_tokens
exp_c,gsm8k_test_000003,canonical,6,True,13.221295356750488,11.637434959411621,1.5838603973388672,True,True,43,57
exp_c,gsm8k_test_000003,canonical,13,True,11.35255241394043,10.030662536621094,1.321889877319336,True,True,43,57
exp_c,gsm8k_test_000003,canonical,20,True,11.364697456359863,10.952618598937988,0.412078857421875,True,True,43,57
exp_c,gsm8k_test_000007,canonical,6,True,16.918275833129883,16.998239517211914,-0.07996368408203125,True,False,60,53
exp_c,gsm8k_test_000007,canonical,13,True,12.103948593139648,12.87031364440918,-0.7663650512695312,True,False,60,53
exp_c,gsm8k_test_000007,canonical,20,True,12.641622543334961,12.733442306518555,-0.09181976318359375,True,False,60,53
exp_c,gsm8k_test_000009,canonical,6,True,15.971641540527344,16.95650291442871,-0.9848613739013672,True,True,62,59
exp_c,gsm8k_test_000009,canonical,13,True,13.388066291809082,12.788098335266113,0.5999679565429688,True,True,62,59
exp_c,gsm8k_test_000009,canonical,20,True,11.884220123291016,12.682374000549316,-0.7981538772583008,True,True,62,59
exp_c,gsm8k_test_000028,canonical,6,True,16.832124710083008,14.570828437805176,2.261296272277832,True,True,48,48
exp_c,gsm8k_test_000028,canonical,13,True,14.235516548156738,12.234027862548828,2.00148868560791,True,True,48,48
exp_c,gsm8k_test_000028,canonical,20,True,12.018420219421387,12.4804105758667,-0.4619903564453125,True,True,48,48
exp_c,gsm8k_test_000031,canonical,6,True,15.59450626373291,13.884458541870117,1.710047721862793,True,False,56,59
exp_c,gsm8k_test_000031,canonical,13,True,11.52764892578125,12.01815128326416,-0.49050235748291016,True,False,56,59
exp_c,gsm8k_test_000031,canonical,20,True,12.7315673828125,13.17154312133789,-0.4399757385253906,True,False,56,59
exp_c,gsm8k_test_000035,canonical,6,True,18.11192512512207,15.013067245483398,3.098857879638672,True,True,48,54
exp_c,gsm8k_test_000035,canonical,13,True,12.58592700958252,13.845465660095215,-1.2595386505126953,True,True,48,54
exp_c,gsm8k_test_000035,canonical,20,True,12.029145240783691,12.950927734375,-0.9217824935913086,True,True,48,54
exp_c,gsm8k_test_000042,canonical,6,True,19.79230308532715,14.6328706741333,5.159432411193848,True,True,42,38
exp_c,gsm8k_test_000042,canonical,13,True,12.223787307739258,10.696711540222168,1.5270757675170898,True,True,42,38
exp_c,gsm8k_test_000042,canonical,20,True,13.342270851135254,12.156025886535645,1.1862449645996094,True,True,42,38
exp_c,gsm8k_test_000044,canonical,6,True,15.47120475769043,16.079282760620117,-0.6080780029296875,True,False,55,44
exp_c,gsm8k_test_000044,canonical,13,True,13.070988655090332,12.755550384521484,0.31543827056884766,True,False,55,44
exp_c,gsm8k_test_000044,canonical,20,True,12.300057411193848,14.625622749328613,-2.3255653381347656,True,False,55,44
exp_c,gsm8k_test_000048,canonical,6,True,15.940896987915039,14.832086563110352,1.1088104248046875,True,True,41,40
exp_c,gsm8k_test_000048,canonical,13,True,11.510672569274902,11.833147048950195,-0.32247447967529297,True,True,41,40
exp_c,gsm8k_test_000048,canonical,20,True,13.333823204040527,12.306361198425293,1.0274620056152344,True,True,41,40
exp_c,gsm8k_test_000054,canonical,6,True,18.016355514526367,16.686172485351562,1.3301830291748047,True,False,48,55
exp_c,gsm8k_test_000054,canonical,13,True,11.807307243347168,12.300604820251465,-0.4932975769042969,True,False,48,55
exp_c,gsm8k_test_000054,canonical,20,True,12.09375,12.979987144470215,-0.8862371444702148,True,False,48,55
exp_c,gsm8k_test_000067,canonical,6,True,15.352946281433105,15.815483093261719,-0.4625368118286133,True,False,63,62
exp_c,gsm8k_test_000067,canonical,13,True,11.625190734863281,11.102216720581055,0.5229740142822266,True,False,63,62
exp_c,gsm8k_test_000067,canonical,20,True,11.674825668334961,11.630800247192383,0.044025421142578125,True,False,63,62
exp_c,gsm8k_test_000069,canonical,6,True,14.684026718139648,14.083290100097656,0.6007366180419922,True,True,43,40
exp_c,gsm8k_test_000069,canonical,13,True,11.27927017211914,11.916365623474121,-0.6370954513549805,True,True,43,40
exp_c,gsm8k_test_000069,canonical,20,True,12.203883171081543,11.982431411743164,0.2214517593383789,True,True,43,40
exp_c,gsm8k_test_000070,canonical,6,True,16.2404842376709,15.77930736541748,0.46117687225341797,True,False,56,51
exp_c,gsm8k_test_000070,canonical,13,True,12.982492446899414,14.223295211791992,-1.2408027648925781,True,False,56,51
exp_c,gsm8k_test_000070,canonical,20,True,12.851656913757324,13.109148979187012,-0.2574920654296875,True,False,56,51
exp_c,gsm8k_test_000088,canonical,6,True,14.379387855529785,15.206482887268066,-0.8270950317382812,True,True,56,46
exp_c,gsm8k_test_000088,canonical,13,True,11.515690803527832,12.301865577697754,-0.7861747741699219,True,True,56,46
exp_c,gsm8k_test_000088,canonical,20,True,11.789958000183105,12.393548965454102,-0.6035909652709961,True,True,56,46
exp_c,gsm8k_test_000091,canonical,6,True,18.708364486694336,15.727058410644531,2.9813060760498047,True,True,61,55
exp_c,gsm8k_test_000091,canonical,13,True,12.1859712600708,10.846789360046387,1.339181900024414,True,True,61,55
exp_c,gsm8k_test_000091,canonical,20,True,12.799355506896973,11.789612770080566,1.0097427368164062,True,True,61,55
exp_c,gsm8k_test_000096,canonical,6,True,16.0997314453125,15.414727210998535,0.6850042343139648,True,True,39,39
