model,model_label,experiment,condition_id,example_id,mode,prompt_variant,family,segment,layer,k,normalize_hidden_states,token_count,valid_token_count,valid,mean_lid,invalid_reason,segment_parse_status,correct,answer_parse_status,gold_answer,model_answer,model_sort_key,hidden_dim,raw_mean_lid,lid_value_normalization,condition,segment_label
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_data,constant_repetition_data,no_think,degenerate,constant_repetition,full_output,6,10,False,1024,1024,True,0.002238263376057148,,ok,,,,,1.7,2048,4.583963394165039,hidden_dim,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_data,constant_repetition_data,no_think,degenerate,constant_repetition,full_output,13,10,False,1024,1024,True,0.0026996638625860214,,ok,,,,,1.7,2048,5.528911590576172,hidden_dim,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_data,constant_repetition_data,no_think,degenerate,constant_repetition,full_output,20,10,False,1024,1024,True,0.002694160910323262,,ok,,,,,1.7,2048,5.517641544342041,hidden_dim,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_zero,constant_repetition_zero,no_think,degenerate,constant_repetition,full_output,6,10,False,1024,1024,True,0.002012362703680992,,ok,,,,,1.7,2048,4.121318817138672,hidden_dim,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_zero,constant_repetition_zero,no_think,degenerate,constant_repetition,full_output,13,10,False,1024,1024,True,0.002374574076384306,,ok,,,,,1.7,2048,4.863127708435059,hidden_dim,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_zero,constant_repetition_zero,no_think,degenerate,constant_repetition,full_output,20,10,False,1024,1024,True,0.0024648657999932766,,ok,,,,,1.7,2048,5.0480451583862305,hidden_dim,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_token,constant_repetition_token,no_think,degenerate,constant_repetition,full_output,6,10,False,1024,1024,True,0.001959848217666149,,ok,,,,,1.7,2048,4.013769149780273,hidden_dim,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_token,constant_repetition_token,no_think,degenerate,constant_repetition,full_output,13,10,False,1024,1024,True,0.002360731828957796,,ok,,,,,1.7,2048,4.834778785705566,hidden_dim,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_token,constant_repetition_token,no_think,degenerate,constant_repetition,full_output,20,10,False,1024,1024,True,0.0025072391144931316,,ok,,,,,1.7,2048,5.134825706481934,hidden_dim,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_apple,constant_repetition_apple,no_think,degenerate,constant_repetition,full_output,6,10,False,1024,1024,True,0.0018136699218302965,,ok,,,,,1.7,2048,3.7143959999084473,hidden_dim,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_apple,constant_repetition_apple,no_think,degenerate,constant_repetition,full_output,13,10,False,1024,1024,True,0.002221405506134033,,ok,,,,,1.7,2048,4.5494384765625,hidden_dim,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_apple,constant_repetition_apple,no_think,degenerate,constant_repetition,full_output,20,10,False,1024,1024,True,0.0023057260550558567,,ok,,,,,1.7,2048,4.7221269607543945,hidden_dim,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_null,constant_repetition_null,no_think,degenerate,constant_repetition,full_output,6,10,False,1024,1024,True,0.00184540671762079,,ok,,,,,1.7,2048,3.779392957687378,hidden_dim,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_null,constant_repetition_null,no_think,degenerate,constant_repetition,full_output,13,10,False,1024,1024,True,0.0021314979530870914,,ok,,,,,1.7,2048,4.365307807922363,hidden_dim,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_null,constant_repetition_null,no_think,degenerate,constant_repetition,full_output,20,10,False,1024,1024,True,0.0021726046688854694,,ok,,,,,1.7,2048,4.449494361877441,hidden_dim,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_01,short_cycle_repetition_01,no_think,degenerate,short_cycle_repetition,full_output,6,10,False,29,29,True,0.004375627264380455,,ok,,,,,1.7,2048,8.961284637451172,hidden_dim,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_01,short_cycle_repetition_01,no_think,degenerate,short_cycle_repetition,full_output,13,10,False,29,29,True,0.0023377498146146536,,ok,,,,,1.7,2048,4.7877116203308105,hidden_dim,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_01,short_cycle_repetition_01,no_think,degenerate,short_cycle_repetition,full_output,20,10,False,29,29,True,0.001693094614893198,,ok,,,,,1.7,2048,3.4674577713012695,hidden_dim,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_02,short_cycle_repetition_02,no_think,degenerate,short_cycle_repetition,full_output,6,10,False,37,37,True,0.00204064161516726,,ok,,,,,1.7,2048,4.179234027862549,hidden_dim,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_02,short_cycle_repetition_02,no_think,degenerate,short_cycle_repetition,full_output,13,10,False,37,37,True,0.002753368578851223,,ok,,,,,1.7,2048,5.638898849487305,hidden_dim,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_02,short_cycle_repetition_02,no_think,degenerate,short_cycle_repetition,full_output,20,10,False,37,37,True,0.001640888163819909,,ok,,,,,1.7,2048,3.360538959503174,hidden_dim,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_03,short_cycle_repetition_03,no_think,degenerate,short_cycle_repetition,full_output,6,10,False,64,64,True,0.0023020608350634575,,ok,,,,,1.7,2048,4.714620590209961,hidden_dim,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_03,short_cycle_repetition_03,no_think,degenerate,short_cycle_repetition,full_output,13,10,False,64,64,True,0.0032894264440983534,,ok,,,,,1.7,2048,6.736745357513428,hidden_dim,short_cycle_repetition,no_think_full
