experiment,condition_id,example_id,mode,prompt_variant,family,segment,layer,k,normalize_hidden_states,token_count,valid_token_count,valid,mean_lid,invalid_reason,segment_parse_status,correct,answer_parse_status,gold_answer,model_answer
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,full_output,6,10,False,560,560,True,12.690044403076172,,ok,False,ok,160,220
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,full_output,13,10,False,560,560,True,9.759212493896484,,ok,False,ok,160,220
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,full_output,20,10,False,560,560,True,19.021636962890625,,ok,False,ok,160,220
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,thinking_segment,6,10,False,514,514,True,11.77450180053711,,ok_qwen_token_boundary,False,ok,160,220
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,thinking_segment,13,10,False,514,514,True,9.497780799865723,,ok_qwen_token_boundary,False,ok,160,220
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,thinking_segment,20,10,False,514,514,True,20.41388702392578,,ok_qwen_token_boundary,False,ok,160,220
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,answer_segment,6,10,False,46,46,True,13.01370620727539,,ok_qwen_token_boundary,False,ok,160,220
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,answer_segment,13,10,False,46,46,True,11.319415092468262,,ok_qwen_token_boundary,False,ok,160,220
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,answer_segment,20,10,False,46,46,True,10.961444854736328,,ok_qwen_token_boundary,False,ok,160,220
exp_c,exp_c__gsm8k_test_000007__no_think,gsm8k_test_000007,no_think,canonical,,full_output,6,10,False,44,44,True,13.069716453552246,,ok,False,ok,160,120
exp_c,exp_c__gsm8k_test_000007__no_think,gsm8k_test_000007,no_think,canonical,,full_output,13,10,False,44,44,True,13.484480857849121,,ok,False,ok,160,120
exp_c,exp_c__gsm8k_test_000007__no_think,gsm8k_test_000007,no_think,canonical,,full_output,20,10,False,44,44,True,12.275854110717773,,ok,False,ok,160,120
exp_c,exp_c__gsm8k_test_000007__no_think,gsm8k_test_000007,no_think,canonical,,answer_segment,6,10,False,44,44,True,13.069716453552246,,ok,False,ok,160,120
exp_c,exp_c__gsm8k_test_000007__no_think,gsm8k_test_000007,no_think,canonical,,answer_segment,13,10,False,44,44,True,13.484480857849121,,ok,False,ok,160,120
exp_c,exp_c__gsm8k_test_000007__no_think,gsm8k_test_000007,no_think,canonical,,answer_segment,20,10,False,44,44,True,12.275854110717773,,ok,False,ok,160,120
exp_c,exp_c__gsm8k_test_000031__think,gsm8k_test_000031,think,canonical,,full_output,6,10,False,314,314,True,17.113285064697266,,ok,True,ok,80,80
exp_c,exp_c__gsm8k_test_000031__think,gsm8k_test_000031,think,canonical,,full_output,13,10,False,314,314,True,12.295071601867676,,ok,True,ok,80,80
