experiment,example_id,prompt_variant,layer,valid_pair,think_answer_lid,no_think_answer_lid,answer_lid_diff,think_correct,no_think_correct,think_answer_tokens,no_think_answer_tokens
exp_c,gsm8k_test_000007,canonical,6,True,13.01370620727539,13.069716453552246,-0.05601024627685547,False,False,46,44
exp_c,gsm8k_test_000007,canonical,13,True,11.319415092468262,13.484480857849121,-2.1650657653808594,False,False,46,44
exp_c,gsm8k_test_000007,canonical,20,True,10.961444854736328,12.275854110717773,-1.3144092559814453,False,False,46,44
exp_c,gsm8k_test_000031,canonical,6,True,16.31645393371582,17.890838623046875,-1.5743846893310547,True,False,52,80
exp_c,gsm8k_test_000031,canonical,13,True,11.181578636169434,12.668149948120117,-1.4865713119506836,True,False,52,80
exp_c,gsm8k_test_000031,canonical,20,True,11.215391159057617,12.39734935760498,-1.1819581985473633,True,False,52,80
exp_c,gsm8k_test_000054,canonical,6,True,17.519779205322266,14.229265213012695,3.2905139923095703,True,False,54,51
exp_c,gsm8k_test_000054,canonical,13,True,11.456541061401367,12.185959815979004,-0.7294187545776367,True,False,54,51
exp_c,gsm8k_test_000054,canonical,20,True,10.95421314239502,12.52694320678711,-1.5727300643920898,True,False,54,51
exp_c,gsm8k_test_000069,canonical,6,True,11.831552505493164,12.64585018157959,-0.8142976760864258,True,True,44,47
exp_c,gsm8k_test_000069,canonical,13,True,12.586318016052246,12.10752010345459,0.47879791259765625,True,True,44,47
exp_c,gsm8k_test_000069,canonical,20,True,11.545690536499023,12.502395629882812,-0.9567050933837891,True,True,44,47
exp_c,gsm8k_test_000099,canonical,6,True,12.5233736038208,13.056656837463379,-0.5332832336425781,True,True,46,57
exp_c,gsm8k_test_000099,canonical,13,True,12.387627601623535,11.369353294372559,1.0182743072509766,True,True,46,57
exp_c,gsm8k_test_000099,canonical,20,True,11.604434967041016,12.182589530944824,-0.5781545639038086,True,True,46,57
exp_c,gsm8k_test_000118,canonical,6,True,13.683856010437012,15.359580993652344,-1.675724983215332,True,True,47,54
exp_c,gsm8k_test_000118,canonical,13,True,12.715575218200684,13.383057594299316,-0.6674823760986328,True,True,47,54
