example_id,thinking_token_count,valid_layers,observed_layers,expected_layers,invalid_reasons,keep
gsm8k_test_000007,514,3,3,3,,True
gsm8k_test_000031,262,3,3,3,,True
gsm8k_test_000054,514,3,3,3,,True
gsm8k_test_000069,265,3,3,3,,True
gsm8k_test_000099,245,3,3,3,,True
gsm8k_test_000118,133,3,3,3,,True
gsm8k_test_000135,220,3,3,3,,True
gsm8k_test_000182,514,3,3,3,,True
gsm8k_test_000243,263,3,3,3,,True
gsm8k_test_000247,290,3,3,3,,True
gsm8k_test_000252,410,3,3,3,,True
gsm8k_test_000254,304,3,3,3,,True
gsm8k_test_000310,429,3,3,3,,True
gsm8k_test_000343,163,3,3,3,,True
gsm8k_test_000361,327,3,3,3,,True
gsm8k_test_000433,195,3,3,3,,True
gsm8k_test_000449,311,3,3,3,,True
gsm8k_test_000460,175,3,3,3,,True
gsm8k_test_000472,153,3,3,3,,True
gsm8k_test_000514,243,3,3,3,,True
gsm8k_test_000523,247,3,3,3,,True
gsm8k_test_000534,514,3,3,3,,True
gsm8k_test_000543,199,3,3,3,,True
gsm8k_test_000549,364,3,3,3,,True
gsm8k_test_000585,299,3,3,3,,True
gsm8k_test_000604,221,3,3,3,,True
gsm8k_test_000625,185,3,3,3,,True
gsm8k_test_000629,294,3,3,3,,True
gsm8k_test_000640,369,3,3,3,,True
gsm8k_test_000641,476,3,3,3,,True
gsm8k_test_000644,169,3,3,3,,True
gsm8k_test_000645,198,3,3,3,,True
gsm8k_test_000655,244,3,3,3,,True
gsm8k_test_000695,193,3,3,3,,True
gsm8k_test_000697,176,3,3,3,,True
gsm8k_test_000713,281,3,3,3,,True
gsm8k_test_000759,236,3,3,3,,True
gsm8k_test_000760,357,3,3,3,,True
gsm8k_test_000775,345,3,3,3,,True
gsm8k_test_000814,357,3,3,3,,True
gsm8k_test_000875,258,3,3,3,,True
gsm8k_test_000900,228,3,3,3,,True
gsm8k_test_000901,514,3,3,3,,True
gsm8k_test_000923,514,3,3,3,,True
gsm8k_test_000924,514,3,3,3,,True
gsm8k_test_000965,417,3,3,3,,True
gsm8k_test_000990,355,3,3,3,,True
gsm8k_test_001017,220,3,3,3,,True
gsm8k_test_001031,339,3,3,3,,True
gsm8k_test_001038,335,3,3,3,,True
gsm8k_test_001043,239,3,3,3,,True
gsm8k_test_001059,273,3,3,3,,True
gsm8k_test_001082,514,3,3,3,,True
gsm8k_test_001094,478,3,3,3,,True
gsm8k_test_001145,224,3,3,3,,True
gsm8k_test_001182,357,3,3,3,,True
gsm8k_test_001209,227,3,3,3,,True
gsm8k_test_001221,115,3,3,3,,True
gsm8k_test_001247,245,3,3,3,,True
gsm8k_test_001253,149,3,3,3,,True
gsm8k_test_001275,278,3,3,3,,True
gsm8k_test_001307,217,3,3,3,,True
