summary_type,family,layer,n,mean,median,ci_low,ci_high
family_layer,constant_repetition,6,5,3.616987133026123,3.4693429470062256,3.3909801959991457,3.879135847091675
family_layer,constant_repetition,13,5,5.756367778778076,5.872961521148682,4.791057777404785,6.698306655883789
family_layer,constant_repetition,20,5,8.440472412109376,9.005763053894043,7.40113468170166,9.090229034423828
family_layer,regular_gsm8k_nothink,6,30,16.214562702178956,16.067646026611328,15.631106847922007,16.81615801334381
family_layer,regular_gsm8k_nothink,13,30,12.121848583221436,12.102408409118652,11.84921867529551,12.405022654533385
family_layer,regular_gsm8k_nothink,20,30,12.608972199757893,12.472479820251465,12.305401728153228,12.944157409667968
family_layer,short_cycle_repetition,6,5,2.5839113712310793,2.7018399238586426,2.0536727905273438,3.034773826599121
family_layer,short_cycle_repetition,13,5,4.206252145767212,4.339057922363281,3.773644895553589,4.544130325317383
family_layer,short_cycle_repetition,20,5,5.72974271774292,5.712367534637451,5.026273441314697,6.433211994171143
family_layer,templatic_repetition,6,5,3.581622505187988,3.4805948734283447,3.0578141689300535,4.186151456832886
family_layer,templatic_repetition,13,5,2.266204309463501,2.2104873657226562,2.1746521949768067,2.3861745834350585
family_layer,templatic_repetition,20,5,5.17226095199585,5.1972270011901855,5.085520076751709,5.25900182723999
