experiment,condition_id,example_id,mode,prompt_variant,family,segment,layer,k,normalize_hidden_states,token_count,valid_token_count,valid,mean_lid,invalid_reason,segment_parse_status,correct,answer_parse_status,gold_answer,model_answer
exp_b,exp_b__gsm8k_test_000003__canonical__no_think,gsm8k_test_000003,no_think,canonical,,full_output,6,10,False,60,60,True,11.320103645324707,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__canonical__no_think,gsm8k_test_000003,no_think,canonical,,full_output,13,10,False,60,60,True,10.881811141967773,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__canonical__no_think,gsm8k_test_000003,no_think,canonical,,full_output,20,10,False,60,60,True,11.255138397216797,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__canonical__no_think,gsm8k_test_000003,no_think,canonical,,answer_segment,6,10,False,60,60,True,11.320103645324707,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__canonical__no_think,gsm8k_test_000003,no_think,canonical,,answer_segment,13,10,False,60,60,True,10.881811141967773,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__canonical__no_think,gsm8k_test_000003,no_think,canonical,,answer_segment,20,10,False,60,60,True,11.255138397216797,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__irrelevant_context__no_think,gsm8k_test_000003,no_think,irrelevant_context,,full_output,6,10,False,55,55,True,12.790925979614258,,ok,False,ok,540,180
exp_b,exp_b__gsm8k_test_000003__irrelevant_context__no_think,gsm8k_test_000003,no_think,irrelevant_context,,full_output,13,10,False,55,55,True,11.912649154663086,,ok,False,ok,540,180
exp_b,exp_b__gsm8k_test_000003__irrelevant_context__no_think,gsm8k_test_000003,no_think,irrelevant_context,,full_output,20,10,False,55,55,True,11.873558044433594,,ok,False,ok,540,180
exp_b,exp_b__gsm8k_test_000003__irrelevant_context__no_think,gsm8k_test_000003,no_think,irrelevant_context,,answer_segment,6,10,False,55,55,True,12.790925979614258,,ok,False,ok,540,180
exp_b,exp_b__gsm8k_test_000003__irrelevant_context__no_think,gsm8k_test_000003,no_think,irrelevant_context,,answer_segment,13,10,False,55,55,True,11.912649154663086,,ok,False,ok,540,180
exp_b,exp_b__gsm8k_test_000003__irrelevant_context__no_think,gsm8k_test_000003,no_think,irrelevant_context,,answer_segment,20,10,False,55,55,True,11.873558044433594,,ok,False,ok,540,180
exp_b,exp_b__gsm8k_test_000003__repetitive_filler__no_think,gsm8k_test_000003,no_think,repetitive_filler,,full_output,6,10,False,60,60,True,11.340729713439941,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__repetitive_filler__no_think,gsm8k_test_000003,no_think,repetitive_filler,,full_output,13,10,False,60,60,True,10.955230712890625,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__repetitive_filler__no_think,gsm8k_test_000003,no_think,repetitive_filler,,full_output,20,10,False,60,60,True,11.455998420715332,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__repetitive_filler__no_think,gsm8k_test_000003,no_think,repetitive_filler,,answer_segment,6,10,False,60,60,True,11.340729713439941,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__repetitive_filler__no_think,gsm8k_test_000003,no_think,repetitive_filler,,answer_segment,13,10,False,60,60,True,10.955230712890625,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__repetitive_filler__no_think,gsm8k_test_000003,no_think,repetitive_filler,,answer_segment,20,10,False,60,60,True,11.455998420715332,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000010__canonical__no_think,gsm8k_test_000010,no_think,canonical,,full_output,6,10,False,60,60,True,11.417862892150879,,ok,False,ok,366,342
exp_b,exp_b__gsm8k_test_000010__canonical__no_think,gsm8k_test_000010,no_think,canonical,,full_output,13,10,False,60,60,True,11.017812728881836,,ok,False,ok,366,342
exp_b,exp_b__gsm8k_test_000010__canonical__no_think,gsm8k_test_000010,no_think,canonical,,full_output,20,10,False,60,60,True,10.229777336120605,,ok,False,ok,366,342
exp_b,exp_b__gsm8k_test_000010__canonical__no_think,gsm8k_test_000010,no_think,canonical,,answer_segment,6,10,False,60,60,True,11.417862892150879,,ok,False,ok,366,342
exp_b,exp_b__gsm8k_test_000010__canonical__no_think,gsm8k_test_000010,no_think,canonical,,answer_segment,13,10,False,60,60,True,11.017812728881836,,ok,False,ok,366,342
exp_b,exp_b__gsm8k_test_000010__canonical__no_think,gsm8k_test_000010,no_think,canonical,,answer_segment,20,10,False,60,60,True,10.229777336120605,,ok,False,ok,366,342
exp_b,exp_b__gsm8k_test_000010__irrelevant_context__no_think,gsm8k_test_000010,no_think,irrelevant_context,,full_output,6,10,False,53,53,True,11.577202796936035,,ok,False,ok,366,342
exp_b,exp_b__gsm8k_test_000010__irrelevant_context__no_think,gsm8k_test_000010,no_think,irrelevant_context,,full_output,13,10,False,53,53,True,10.960553169250488,,ok,False,ok,366,342
exp_b,exp_b__gsm8k_test_000010__irrelevant_context__no_think,gsm8k_test_000010,no_think,irrelevant_context,,full_output,20,10,False,53,53,True,11.232418060302734,,ok,False,ok,366,342
exp_b,exp_b__gsm8k_test_000010__irrelevant_context__no_think,gsm8k_test_000010,no_think,irrelevant_context,,answer_segment,6,10,False,53,53,True,11.577202796936035,,ok,False,ok,366,342
exp_b,exp_b__gsm8k_test_000010__irrelevant_context__no_think,gsm8k_test_000010,no_think,irrelevant_context,,answer_segment,13,10,False,53,53,True,10.960553169250488,,ok,False,ok,366,342
exp_b,exp_b__gsm8k_test_000010__irrelevant_context__no_think,gsm8k_test_000010,no_think,irrelevant_context,,answer_segment,20,10,False,53,53,True,11.232418060302734,,ok,False,ok,366,342
exp_b,exp_b__gsm8k_test_000010__repetitive_filler__no_think,gsm8k_test_000010,no_think,repetitive_filler,,full_output,6,10,False,60,60,True,11.407973289489746,,ok,False,ok,366,342
exp_b,exp_b__gsm8k_test_000010__repetitive_filler__no_think,gsm8k_test_000010,no_think,repetitive_filler,,full_output,13,10,False,60,60,True,11.053702354431152,,ok,False,ok,366,342
