summary_type,family,layer,n,mean,median,ci_low,ci_high
family_layer,constant_repetition,6,5,7.192068195343017,4.910504341125488,4.42517499923706,12.147213745117188
family_layer,constant_repetition,13,5,7.697949600219727,7.592316627502441,7.022215461730957,8.425105667114257
family_layer,constant_repetition,20,5,7.124846744537353,7.315110683441162,6.394504070281982,7.876632308959961
family_layer,regular_gsm8k_nothink,6,30,13.453559811909994,13.028643131256104,12.571457099914552,14.43344789902369
family_layer,regular_gsm8k_nothink,13,30,11.694864463806152,11.814687252044678,11.436669905185699,11.947074960072836
family_layer,regular_gsm8k_nothink,20,30,11.458935864766438,11.36694860458374,11.23733549118042,11.670296780268352
family_layer,short_cycle_repetition,6,5,6.900938034057617,5.784148216247559,5.363673973083496,8.878775215148925
family_layer,short_cycle_repetition,13,5,6.8320615768432615,6.833587646484375,5.930764007568359,7.7769123077392575
family_layer,short_cycle_repetition,20,5,6.318731784820557,6.741900444030762,4.656967449188232,8.026975617408752
family_layer,templatic_repetition,6,5,2.412647581100464,2.3344638347625732,2.2472802639007567,2.5780148983001707
family_layer,templatic_repetition,13,5,3.2184723377227784,3.1543045043945312,3.074853610992432,3.42247633934021
family_layer,templatic_repetition,20,5,20.13273105621338,20.812679290771484,11.782542991638184,28.142347717285155
