example_id,thinking_token_count,valid_layers,observed_layers,expected_layers,invalid_reasons,keep
gsm8k_test_000003,157,3,3,3,,True
gsm8k_test_000007,362,3,3,3,,True
gsm8k_test_000009,206,3,3,3,,True
gsm8k_test_000028,146,3,3,3,,True
gsm8k_test_000031,280,3,3,3,,True
gsm8k_test_000035,180,3,3,3,,True
gsm8k_test_000042,82,3,3,3,,True
gsm8k_test_000044,217,3,3,3,,True
gsm8k_test_000048,218,3,3,3,,True
gsm8k_test_000054,239,3,3,3,,True
gsm8k_test_000067,330,3,3,3,,True
gsm8k_test_000069,108,3,3,3,,True
gsm8k_test_000070,292,3,3,3,,True
gsm8k_test_000088,289,3,3,3,,True
gsm8k_test_000091,129,3,3,3,,True
gsm8k_test_000096,91,3,3,3,,True
gsm8k_test_000099,170,3,3,3,,True
gsm8k_test_000103,275,3,3,3,,True
gsm8k_test_000109,185,3,3,3,,True
gsm8k_test_000112,246,3,3,3,,True
gsm8k_test_000118,211,3,3,3,,True
gsm8k_test_000133,110,3,3,3,,True
gsm8k_test_000135,172,3,3,3,,True
gsm8k_test_000150,514,3,3,3,,True
gsm8k_test_000156,209,3,3,3,,True
gsm8k_test_000162,340,3,3,3,,True
gsm8k_test_000172,294,3,3,3,,True
gsm8k_test_000176,185,3,3,3,,True
gsm8k_test_000182,514,3,3,3,,True
gsm8k_test_000188,117,3,3,3,,True
gsm8k_test_000192,163,3,3,3,,True
gsm8k_test_000199,163,3,3,3,,True
gsm8k_test_000208,194,3,3,3,,True
gsm8k_test_000217,165,3,3,3,,True
gsm8k_test_000227,497,3,3,3,,True
gsm8k_test_000243,235,3,3,3,,True
gsm8k_test_000247,290,3,3,3,,True
gsm8k_test_000252,425,3,3,3,,True
gsm8k_test_000254,284,3,3,3,,True
gsm8k_test_000257,208,3,3,3,,True
gsm8k_test_000273,258,3,3,3,,True
gsm8k_test_000274,147,3,3,3,,True
gsm8k_test_000276,285,3,3,3,,True
gsm8k_test_000282,267,3,3,3,,True
gsm8k_test_000290,291,3,3,3,,True
gsm8k_test_000294,113,3,3,3,,True
gsm8k_test_000296,294,3,3,3,,True
gsm8k_test_000300,186,3,3,3,,True
gsm8k_test_000304,514,3,3,3,,True
gsm8k_test_000307,326,3,3,3,,True
gsm8k_test_000310,454,3,3,3,,True
gsm8k_test_000315,293,3,3,3,,True
gsm8k_test_000325,156,3,3,3,,True
gsm8k_test_000338,219,3,3,3,,True
gsm8k_test_000343,206,3,3,3,,True
gsm8k_test_000351,136,3,3,3,,True
gsm8k_test_000360,121,3,3,3,,True
gsm8k_test_000361,310,3,3,3,,True
gsm8k_test_000364,155,3,3,3,,True
gsm8k_test_000374,151,3,3,3,,True
