experiment,condition_id,example_id,mode,prompt_variant,family,segment,layer,k,normalize_hidden_states,token_count,valid_token_count,valid,mean_lid,invalid_reason,segment_parse_status,correct,answer_parse_status,gold_answer,model_answer
exp_c,exp_c__gsm8k_test_000003__think,gsm8k_test_000003,think,canonical,,full_output,6,10,False,209,209,True,16.989948272705078,,ok,True,ok,540,540
exp_c,exp_c__gsm8k_test_000003__think,gsm8k_test_000003,think,canonical,,full_output,13,10,False,209,209,True,12.236007690429688,,ok,True,ok,540,540
exp_c,exp_c__gsm8k_test_000003__think,gsm8k_test_000003,think,canonical,,full_output,20,10,False,209,209,True,12.659466743469238,,ok,True,ok,540,540
exp_c,exp_c__gsm8k_test_000003__think,gsm8k_test_000003,think,canonical,,thinking_segment,6,10,False,157,157,True,20.51082992553711,,ok_qwen_token_boundary,True,ok,540,540
exp_c,exp_c__gsm8k_test_000003__think,gsm8k_test_000003,think,canonical,,thinking_segment,13,10,False,157,157,True,13.670656204223633,,ok_qwen_token_boundary,True,ok,540,540
exp_c,exp_c__gsm8k_test_000003__think,gsm8k_test_000003,think,canonical,,thinking_segment,20,10,False,157,157,True,13.355045318603516,,ok_qwen_token_boundary,True,ok,540,540
exp_c,exp_c__gsm8k_test_000003__think,gsm8k_test_000003,think,canonical,,answer_segment,6,10,False,52,52,True,12.04338550567627,,ok_qwen_token_boundary,True,ok,540,540
exp_c,exp_c__gsm8k_test_000003__think,gsm8k_test_000003,think,canonical,,answer_segment,13,10,False,52,52,True,12.02325439453125,,ok_qwen_token_boundary,True,ok,540,540
exp_c,exp_c__gsm8k_test_000003__think,gsm8k_test_000003,think,canonical,,answer_segment,20,10,False,52,52,True,11.873254776000977,,ok_qwen_token_boundary,True,ok,540,540
exp_c,exp_c__gsm8k_test_000003__no_think,gsm8k_test_000003,no_think,canonical,,full_output,6,10,False,47,47,True,11.558932304382324,,ok,True,ok,540,540
exp_c,exp_c__gsm8k_test_000003__no_think,gsm8k_test_000003,no_think,canonical,,full_output,13,10,False,47,47,True,11.971761703491211,,ok,True,ok,540,540
exp_c,exp_c__gsm8k_test_000003__no_think,gsm8k_test_000003,no_think,canonical,,full_output,20,10,False,47,47,True,11.896578788757324,,ok,True,ok,540,540
exp_c,exp_c__gsm8k_test_000003__no_think,gsm8k_test_000003,no_think,canonical,,answer_segment,6,10,False,47,47,True,11.558932304382324,,ok,True,ok,540,540
exp_c,exp_c__gsm8k_test_000003__no_think,gsm8k_test_000003,no_think,canonical,,answer_segment,13,10,False,47,47,True,11.971761703491211,,ok,True,ok,540,540
exp_c,exp_c__gsm8k_test_000003__no_think,gsm8k_test_000003,no_think,canonical,,answer_segment,20,10,False,47,47,True,11.896578788757324,,ok,True,ok,540,540
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,full_output,6,10,False,425,425,True,21.43747329711914,,ok,True,ok,160,160
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,full_output,13,10,False,425,425,True,13.932341575622559,,ok,True,ok,160,160
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,full_output,20,10,False,425,425,True,13.541266441345215,,ok,True,ok,160,160
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,thinking_segment,6,10,False,362,362,True,22.937253952026367,,ok_qwen_token_boundary,True,ok,160,160
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,thinking_segment,13,10,False,362,362,True,14.028258323669434,,ok_qwen_token_boundary,True,ok,160,160
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,thinking_segment,20,10,False,362,362,True,13.400038719177246,,ok_qwen_token_boundary,True,ok,160,160
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,answer_segment,6,10,False,63,63,True,14.66866397857666,,ok_qwen_token_boundary,True,ok,160,160
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,answer_segment,13,10,False,63,63,True,12.75635051727295,,ok_qwen_token_boundary,True,ok,160,160
exp_c,exp_c__gsm8k_test_000007__think,gsm8k_test_000007,think,canonical,,answer_segment,20,10,False,63,63,True,12.629363059997559,,ok_qwen_token_boundary,True,ok,160,160
exp_c,exp_c__gsm8k_test_000007__no_think,gsm8k_test_000007,no_think,canonical,,full_output,6,10,False,62,62,True,15.424065589904785,,ok,False,ok,160,140
exp_c,exp_c__gsm8k_test_000007__no_think,gsm8k_test_000007,no_think,canonical,,full_output,13,10,False,62,62,True,12.9900484085083,,ok,False,ok,160,140
exp_c,exp_c__gsm8k_test_000007__no_think,gsm8k_test_000007,no_think,canonical,,full_output,20,10,False,62,62,True,12.477237701416016,,ok,False,ok,160,140
exp_c,exp_c__gsm8k_test_000007__no_think,gsm8k_test_000007,no_think,canonical,,answer_segment,6,10,False,62,62,True,15.424065589904785,,ok,False,ok,160,140
exp_c,exp_c__gsm8k_test_000007__no_think,gsm8k_test_000007,no_think,canonical,,answer_segment,13,10,False,62,62,True,12.9900484085083,,ok,False,ok,160,140
exp_c,exp_c__gsm8k_test_000007__no_think,gsm8k_test_000007,no_think,canonical,,answer_segment,20,10,False,62,62,True,12.477237701416016,,ok,False,ok,160,140
exp_c,exp_c__gsm8k_test_000009__think,gsm8k_test_000009,think,canonical,,full_output,6,10,False,276,276,True,14.926375389099121,,ok,True,ok,460,460
exp_c,exp_c__gsm8k_test_000009__think,gsm8k_test_000009,think,canonical,,full_output,13,10,False,276,276,True,12.570755004882812,,ok,True,ok,460,460
