experiment,example_id,prompt_variant,layer,valid_pair,think_answer_lid,no_think_answer_lid,answer_lid_diff,think_correct,no_think_correct,think_answer_tokens,no_think_answer_tokens
exp_c,gsm8k_test_000003,canonical,6,True,12.04338550567627,11.558932304382324,0.4844532012939453,True,True,52,47
exp_c,gsm8k_test_000003,canonical,13,True,12.02325439453125,11.971761703491211,0.05149269104003906,True,True,52,47
exp_c,gsm8k_test_000003,canonical,20,True,11.873254776000977,11.896578788757324,-0.023324012756347656,True,True,52,47
exp_c,gsm8k_test_000007,canonical,6,True,14.66866397857666,15.424065589904785,-0.755401611328125,True,False,63,62
exp_c,gsm8k_test_000007,canonical,13,True,12.75635051727295,12.9900484085083,-0.23369789123535156,True,False,63,62
exp_c,gsm8k_test_000007,canonical,20,True,12.629363059997559,12.477237701416016,0.15212535858154297,True,False,63,62
exp_c,gsm8k_test_000009,canonical,6,True,14.186744689941406,16.052547454833984,-1.8658027648925781,True,True,70,70
exp_c,gsm8k_test_000009,canonical,13,True,13.5809907913208,14.594619750976562,-1.0136289596557617,True,True,70,70
exp_c,gsm8k_test_000009,canonical,20,True,13.388425827026367,13.746591567993164,-0.3581657409667969,True,True,70,70
exp_c,gsm8k_test_000028,canonical,6,True,14.24152660369873,13.856825828552246,0.3847007751464844,True,True,45,38
exp_c,gsm8k_test_000028,canonical,13,True,12.562829971313477,13.501300811767578,-0.9384708404541016,True,True,45,38
exp_c,gsm8k_test_000028,canonical,20,True,12.887161254882812,12.316664695739746,0.5704965591430664,True,True,45,38
exp_c,gsm8k_test_000031,canonical,6,True,13.12764835357666,12.180479049682617,0.947169303894043,True,False,76,80
exp_c,gsm8k_test_000031,canonical,13,True,13.093974113464355,13.623245239257812,-0.529271125793457,True,False,76,80
exp_c,gsm8k_test_000031,canonical,20,True,13.5077486038208,13.371561050415039,0.13618755340576172,True,False,76,80
exp_c,gsm8k_test_000035,canonical,6,True,16.13693618774414,16.37473487854004,-0.23779869079589844,True,True,47,47
exp_c,gsm8k_test_000035,canonical,13,True,13.376123428344727,13.839618682861328,-0.46349525451660156,True,True,47,47
exp_c,gsm8k_test_000035,canonical,20,True,12.268909454345703,12.90680980682373,-0.6379003524780273,True,True,47,47
exp_c,gsm8k_test_000042,canonical,6,True,15.97252082824707,14.873212814331055,1.0993080139160156,True,True,45,42
exp_c,gsm8k_test_000042,canonical,13,True,14.554166793823242,13.70390796661377,0.8502588272094727,True,True,45,42
exp_c,gsm8k_test_000042,canonical,20,True,13.938814163208008,13.009082794189453,0.9297313690185547,True,True,45,42
exp_c,gsm8k_test_000044,canonical,6,True,21.294567108154297,23.0198974609375,-1.7253303527832031,True,False,64,51
exp_c,gsm8k_test_000044,canonical,13,True,16.265106201171875,15.208110809326172,1.0569953918457031,True,False,64,51
exp_c,gsm8k_test_000044,canonical,20,True,14.89468002319336,13.552751541137695,1.341928482055664,True,False,64,51
exp_c,gsm8k_test_000048,canonical,6,True,14.450357437133789,12.960779190063477,1.4895782470703125,True,True,41,42
exp_c,gsm8k_test_000048,canonical,13,True,13.342771530151367,12.432744979858398,0.9100265502929688,True,True,41,42
exp_c,gsm8k_test_000048,canonical,20,True,11.84412956237793,11.088393211364746,0.7557363510131836,True,True,41,42
exp_c,gsm8k_test_000054,canonical,6,True,19.10357093811035,13.97962474822998,5.123946189880371,True,False,53,39
exp_c,gsm8k_test_000054,canonical,13,True,15.387739181518555,15.162068367004395,0.22567081451416016,True,False,53,39
exp_c,gsm8k_test_000054,canonical,20,True,13.822977066040039,14.002405166625977,-0.1794281005859375,True,False,53,39
exp_c,gsm8k_test_000067,canonical,6,True,17.54230308532715,15.368878364562988,2.17342472076416,True,False,72,61
exp_c,gsm8k_test_000067,canonical,13,True,14.05916976928711,13.726419448852539,0.3327503204345703,True,False,72,61
exp_c,gsm8k_test_000067,canonical,20,True,13.958075523376465,13.555167198181152,0.4029083251953125,True,False,72,61
exp_c,gsm8k_test_000069,canonical,6,True,14.94968032836914,13.519965171813965,1.4297151565551758,True,True,37,44
exp_c,gsm8k_test_000069,canonical,13,True,14.180691719055176,14.122858047485352,0.05783367156982422,True,True,37,44
exp_c,gsm8k_test_000069,canonical,20,True,12.874634742736816,12.207236289978027,0.6673984527587891,True,True,37,44
exp_c,gsm8k_test_000070,canonical,6,True,15.773916244506836,15.663161277770996,0.11075496673583984,True,False,51,52
exp_c,gsm8k_test_000070,canonical,13,True,14.128857612609863,13.282546043395996,0.8463115692138672,True,False,51,52
exp_c,gsm8k_test_000070,canonical,20,True,14.614542961120605,12.440950393676758,2.1735925674438477,True,False,51,52
exp_c,gsm8k_test_000088,canonical,6,True,17.261320114135742,13.45627212524414,3.8050479888916016,True,True,44,60
exp_c,gsm8k_test_000088,canonical,13,True,14.107193946838379,11.380620002746582,2.726573944091797,True,True,44,60
exp_c,gsm8k_test_000088,canonical,20,True,12.055736541748047,10.456451416015625,1.5992851257324219,True,True,44,60
