experiment,example_id,prompt_variant,layer,valid_pair,think_answer_lid,no_think_answer_lid,answer_lid_diff,think_correct,no_think_correct,think_answer_tokens,no_think_answer_tokens
exp_c,gsm8k_test_000003,canonical,6,True,10.172750473022461,11.307692527770996,-1.1349420547485352,True,True,47,60
exp_c,gsm8k_test_000003,canonical,13,True,11.241811752319336,10.882772445678711,0.359039306640625,True,True,47,60
exp_c,gsm8k_test_000003,canonical,20,True,11.597207069396973,11.250327110290527,0.3468799591064453,True,True,47,60
exp_c,gsm8k_test_000007,canonical,6,True,13.919528007507324,11.332721710205078,2.586806297302246,True,False,56,41
exp_c,gsm8k_test_000007,canonical,13,True,11.498530387878418,10.793726921081543,0.704803466796875,True,False,56,41
exp_c,gsm8k_test_000007,canonical,20,True,11.423871994018555,11.340173721313477,0.08369827270507812,True,False,56,41
exp_c,gsm8k_test_000009,canonical,6,True,12.23818302154541,12.504088401794434,-0.26590538024902344,True,True,46,40
exp_c,gsm8k_test_000009,canonical,13,True,12.777241706848145,11.461811065673828,1.3154306411743164,True,True,46,40
exp_c,gsm8k_test_000009,canonical,20,True,10.80187702178955,10.891530990600586,-0.08965396881103516,True,True,46,40
exp_c,gsm8k_test_000028,canonical,6,True,12.766666412353516,11.646421432495117,1.1202449798583984,True,True,39,39
exp_c,gsm8k_test_000028,canonical,13,True,11.482380867004395,10.566243171691895,0.9161376953125,True,True,39,39
exp_c,gsm8k_test_000028,canonical,20,True,11.099279403686523,11.805808067321777,-0.7065286636352539,True,True,39,39
exp_c,gsm8k_test_000031,canonical,6,True,15.481922149658203,13.571306228637695,1.9106159210205078,True,False,60,69
exp_c,gsm8k_test_000031,canonical,13,True,10.388014793395996,10.036415100097656,0.35159969329833984,True,False,60,69
exp_c,gsm8k_test_000031,canonical,20,True,11.015429496765137,10.218259811401367,0.7971696853637695,True,False,60,69
exp_c,gsm8k_test_000035,canonical,6,True,16.78835105895996,14.739445686340332,2.048905372619629,True,True,51,48
exp_c,gsm8k_test_000035,canonical,13,True,12.668316841125488,13.184386253356934,-0.5160694122314453,True,True,51,48
exp_c,gsm8k_test_000035,canonical,20,True,11.936775207519531,11.716285705566406,0.220489501953125,True,True,51,48
exp_c,gsm8k_test_000042,canonical,6,True,12.60767650604248,12.46367073059082,0.14400577545166016,True,True,38,45
exp_c,gsm8k_test_000042,canonical,13,True,12.349523544311523,11.267783164978027,1.081740379333496,True,True,38,45
exp_c,gsm8k_test_000042,canonical,20,True,12.556078910827637,11.829133033752441,0.7269458770751953,True,True,38,45
exp_c,gsm8k_test_000044,canonical,6,True,15.35401725769043,14.76803970336914,0.5859775543212891,True,True,50,52
exp_c,gsm8k_test_000044,canonical,13,True,11.682835578918457,12.373147964477539,-0.690312385559082,True,True,50,52
exp_c,gsm8k_test_000044,canonical,20,True,11.213644027709961,11.45635986328125,-0.24271583557128906,True,True,50,52
