example_id,thinking_token_count,valid_layers,observed_layers,expected_layers,invalid_reasons,keep
gsm8k_test_000003,194,3,3,3,,True
gsm8k_test_000007,416,3,3,3,,True
gsm8k_test_000009,233,3,3,3,,True
gsm8k_test_000028,203,3,3,3,,True
gsm8k_test_000031,278,3,3,3,,True
gsm8k_test_000035,273,3,3,3,,True
gsm8k_test_000042,104,3,3,3,,True
gsm8k_test_000044,220,3,3,3,,True
gsm8k_test_000048,212,3,3,3,,True
gsm8k_test_000054,299,3,3,3,,True
gsm8k_test_000067,176,3,3,3,,True
gsm8k_test_000069,142,3,3,3,,True
gsm8k_test_000070,242,3,3,3,,True
gsm8k_test_000088,195,3,3,3,,True
gsm8k_test_000091,174,3,3,3,,True
gsm8k_test_000096,227,3,3,3,,True
gsm8k_test_000099,383,3,3,3,,True
gsm8k_test_000103,195,3,3,3,,True
gsm8k_test_000109,234,3,3,3,,True
gsm8k_test_000112,215,3,3,3,,True
gsm8k_test_000118,175,3,3,3,,True
gsm8k_test_000133,139,3,3,3,,True
gsm8k_test_000135,184,3,3,3,,True
gsm8k_test_000150,514,3,3,3,,True
gsm8k_test_000156,319,3,3,3,,True
gsm8k_test_000162,514,3,3,3,,True
gsm8k_test_000172,339,3,3,3,,True
gsm8k_test_000176,190,3,3,3,,True
gsm8k_test_000182,482,3,3,3,,True
gsm8k_test_000188,207,3,3,3,,True
gsm8k_test_000192,135,3,3,3,,True
gsm8k_test_000199,173,3,3,3,,True
gsm8k_test_000208,247,3,3,3,,True
gsm8k_test_000217,116,3,3,3,,True
gsm8k_test_000227,514,3,3,3,,True
gsm8k_test_000243,368,3,3,3,,True
gsm8k_test_000247,247,3,3,3,,True
gsm8k_test_000252,411,3,3,3,,True
gsm8k_test_000254,165,3,3,3,,True
gsm8k_test_000257,375,3,3,3,,True
gsm8k_test_000273,217,3,3,3,,True
gsm8k_test_000274,248,3,3,3,,True
gsm8k_test_000276,151,3,3,3,,True
gsm8k_test_000282,258,3,3,3,,True
gsm8k_test_000290,196,3,3,3,,True
gsm8k_test_000294,214,3,3,3,,True
gsm8k_test_000296,309,3,3,3,,True
gsm8k_test_000300,178,3,3,3,,True
gsm8k_test_000304,268,3,3,3,,True
gsm8k_test_000307,514,3,3,3,,True
gsm8k_test_000310,321,3,3,3,,True
gsm8k_test_000315,401,3,3,3,,True
gsm8k_test_000325,427,3,3,3,,True
gsm8k_test_000338,247,3,3,3,,True
gsm8k_test_000343,449,3,3,3,,True
gsm8k_test_000351,140,3,3,3,,True
gsm8k_test_000360,266,3,3,3,,True
gsm8k_test_000361,379,3,3,3,,True
gsm8k_test_000364,173,3,3,3,,True
gsm8k_test_000374,177,3,3,3,,True
gsm8k_test_000389,162,3,3,3,,True
gsm8k_test_000395,319,3,3,3,,True
gsm8k_test_000398,173,3,3,3,,True
gsm8k_test_000415,514,3,3,3,,True
gsm8k_test_000426,196,3,3,3,,True
gsm8k_test_000432,206,3,3,3,,True
gsm8k_test_000433,200,3,3,3,,True
gsm8k_test_000448,349,3,3,3,,True
gsm8k_test_000449,167,3,3,3,,True
gsm8k_test_000460,400,3,3,3,,True
gsm8k_test_000472,272,3,3,3,,True
gsm8k_test_000491,146,3,3,3,,True
gsm8k_test_000503,174,3,3,3,,True
gsm8k_test_000509,514,3,3,3,,True
gsm8k_test_000514,228,3,3,3,,True
gsm8k_test_000518,212,3,3,3,,True
gsm8k_test_000523,333,3,3,3,,True
gsm8k_test_000531,295,3,3,3,,True
gsm8k_test_000532,414,3,3,3,,True
gsm8k_test_000534,272,3,3,3,,True
gsm8k_test_000543,219,3,3,3,,True
gsm8k_test_000549,240,3,3,3,,True
gsm8k_test_000560,245,3,3,3,,True
gsm8k_test_000561,266,3,3,3,,True
gsm8k_test_000564,514,3,3,3,,True
gsm8k_test_000568,156,3,3,3,,True
gsm8k_test_000582,218,3,3,3,,True
gsm8k_test_000585,222,3,3,3,,True
gsm8k_test_000586,222,3,3,3,,True
gsm8k_test_000595,218,3,3,3,,True
gsm8k_test_000604,111,3,3,3,,True
gsm8k_test_000605,251,3,3,3,,True
gsm8k_test_000625,167,3,3,3,,True
gsm8k_test_000629,418,3,3,3,,True
gsm8k_test_000633,213,3,3,3,,True
gsm8k_test_000640,514,3,3,3,,True
gsm8k_test_000641,514,3,3,3,,True
gsm8k_test_000644,444,3,3,3,,True
gsm8k_test_000645,146,3,3,3,,True
gsm8k_test_000655,220,3,3,3,,True
gsm8k_test_000668,147,3,3,3,,True
gsm8k_test_000684,189,3,3,3,,True
gsm8k_test_000695,220,3,3,3,,True
