summary_type,family,layer,n,mean,median,ci_low,ci_high
family_layer,constant_repetition,6,5,4.1746162414550785,4.127738952636719,3.829579162597656,4.540650939941406
family_layer,constant_repetition,13,5,6.9764374732971195,6.703474998474121,6.395440864562988,7.6159186363220215
family_layer,constant_repetition,20,5,7.617117214202881,7.574487209320068,7.277395262718202,7.9768274307250975
family_layer,regular_gsm8k_nothink,6,30,15.189794063568115,14.076751232147217,14.242452968756357,16.200888101259864
family_layer,regular_gsm8k_nothink,13,30,12.29424664179484,12.083884239196777,11.947187077999116,12.6633958307902
family_layer,regular_gsm8k_nothink,20,30,12.022887039184571,12.084869384765625,11.762223241329192,12.249435416062674
family_layer,short_cycle_repetition,6,5,4.761407566070557,4.6066131591796875,4.571654319763184,4.967225742340088
family_layer,short_cycle_repetition,13,5,5.520704364776611,5.368624687194824,5.1220308303833,6.103527927398682
family_layer,short_cycle_repetition,20,5,6.321354866027832,5.683040618896484,5.4760339736938475,7.625855350494385
family_layer,templatic_repetition,6,5,3.191121816635132,3.0549232959747314,2.7490447521209718,3.766245174407959
family_layer,templatic_repetition,13,5,2.9295250415802,2.830268383026123,2.7838464736938477,3.15696005821228
family_layer,templatic_repetition,20,5,6.22234468460083,6.117682456970215,6.025585556030274,6.419103813171387
